,review
0,"God stemning, og gode pizzaer. Desværre er ventetiden lang på både service, mad og drikke. Priserne er rimelige på Både mad og drikke, ok sted at starte DN aften i byen eller få en middag med familien til overkommelige penge"
1,"Maden ok, men betjeningen var der bare ikke. Alt for dyrt i forhold til det samlede niveau. Går heller på Gorms end anden gang."
2,"Vi kom sent en onsdag aften og dette var det eneste i kødbyen der stadig havde åbnet. Vi fik pizza, ikke som vi plejer, men de var ok lækre og anderledes. Men til prisen, 140 kr. Stk kunne de findes bedre. Vi fik også dyvstegs torsk i øldej. Ganske lækkert, men der manglede en tartar sauce eller andet dyppelse. Fik øl, sodavand og aperol spritz. Spritz kunne de saften gøre bedre.
Men hygge sommer stemning og sød betjening"
3,"Virkelig lækker og anderledes weekend brunch med live musik. Pizzaerne kunne godt være mere sprøde. Derudover ærgeligt at man ifm. brunch ikke bare kan få lov at bestille en pizza, hvis det er det man mest har lyst til."
4,"Mother serverer autentiske italienske pizzaer og pastaretter. Maden er altid enkel og delikat. Særligt weekendbrunchen er lækker. Jeg er normalt ikke specielt begejstret for buffet, men Mother formår at holde buffeten frisk ved hele tiden at anrette nye, frisklavede retter i mindre portioner. Tilpas udvalg af frisk brød, pastaer, salater og selvfølgelig pizzaer. Der kan dog være meget proppet i weekenderne, da det er et af hipsterne og barnevognschaufførernes favorit-samlingssteder."
5,Dejligt og sidde ude i solen og nyde stemningen i området. Lækker pizza og Aperol samt gratis vand. Meget venlig og god betjening
6,"Vi skulle have en hurtig frokost og valgte en panini. Vi gik begge den med pølse og ricotta. Den smagte godt og brødet var dejligt. Men rimelig lille, den mættede ikke meget da brødet var meget tyndt. Hurtig betjening, dog krævede mængden af mad, at min makker måtte supplere med mere frokost et anden sted på vejen. Bonus: der var gratis vand"
7,Var her i dag sammen med min kone. Vi have læst godt om stedet på nettet. Derfor valgte vi stedet. Men hold op hvor blev vi skuffet. De pizzaer de servere er alt for brændte og bunden er blød og uden sprødhed. Ikke det man forventer at en pizza restaurant. De ansatte taler kun engelsk. Kommer ikke her igen.
8,"Blandt de mange restauranter i Kødbyen valgte vi at bestille bord på Mother. Vi var 6 voksne og godt, at vi havde bestilt - der var kun enkelte ledige pladser udenfor den 30. marts. Pizzaerne var super gode og laves i det åbne køkken, der er med til at bidrage til den hyggelige stemning. Betjeningen venlig og hurtig.
Vi kommer gerne igen."
9,"Vi havde glædet os meget, da vi havde hørt godt om dette sted. Men det var virkelig en dårlig oplevelse.
- Ventede rigtig lang tid på blot at få lov til at bestille drikkevare, da de så kom var det kun de drikkevarer i havde bestilt til maden der kom, velkomstdrinks måtte jeg op og rykker for, endvidere skulle vi også selv hente glas til den flaske øl der var bestilt.

- Ventede 45 minutter på forret, maden var her ok

- Efter 60 min måtte jeg bede om at de fik ryddet efter forret og vi fik pizza, som så kom 30 minutter senere.

- Alle 3 pizzaer var brændt i bunden, bund ikke sprøde men de var bløde og slaskede.

- Da vi ville betale (måtte gå til kasse da det var umuligt at få fat i en tjener), kunne de ikke finde regning, dog kom de frem til 2 regninger som vores måtte være én af. (det var det så)

Så kort sagt en dårlig madoplevelse med utrolig dårlig betjening, så hvis dette er deres normale standard kan det ikke anbefales."
0,"Kaotisk mange mennesker, lang ventetid, pizza ikke bagt tilstrækkeligt. Kan ikke anbefales som familierestaurant"
