,review
0,"Min hustru fandt denne restaurant ved et “tilfælde”, i forbindelse med at vi skulle på jazzcruise med svigermor
Og hvilken oplevelse. Vi blev modtaget af en utrolig venlig og serviceminded tjener, der igennem hele middagen sammen med resten af personalet gav os den absolut bedste oplevelse!
Maden var udovertruffen, og svigermor sagde den soya marinerede laks til forret, var den bedste forret hun nogensinde havde fået.(og hun er immervæk 82)
Hovedretterne bar ligesom det øvrige præg af friske råvarer, og sublim tilberedning.
Jeg ved det her er store ord, men velfortjente, og tak til team Tight. På gensyn!"
1,"God beliggenhed Lidt traditionelt udvalg Pæn anretning Meget serviceminded, omend helt uerfarne omkring vin En enkelt hovedret måtte retur til køkkenet, da bøffen ikke var stegt som bestilt"
2,"Hyggeligt, god mad, venlig betjening, ok priser. Vi fik et bord på 1. sal og valgte en seafood risotto som var super lækker."
3,"Dejlige cocktails, lækket mad, hyggeligt sted, afslappet stemning og de flinkeste tjenere. Og så er prisen aldeles fair."
4,Kom forbi sent lørdag aften uden reservation. Fik rigtig god service selvom der var travlt. Fik et midlertig bord og en drik medens de ryddede plads til os oven på 👍 Umærket mad og opmærksom betjening hele vejen igenem 😊
5,"På trods af en lidt fortumlet start på grund af DSB problemer var vores bord klar til os, da vi ankom 5 minutter for sent i forhold til den bestilte tid. Menu- og vinkortene lå på bordet, og det var rigtig godt af tjeneren, at holde øje med, hvornår vi var parat til at bestille. Vi valgte hver sin ret. Jeg fik en bagt torsk med sauce blanc og den var perfekt tilberedt. Dertil en lidt fed hvidvin, en Chardonnay, som var perfekt i sit syreindhold. en rigtig god oplevelse.
Fruen havde valgt lammeculotte (som egentlig også havde fristet mig), og der var rigeligt med kød. Desuden var der en vaudouvan-sauce (chili og karry), som var rigelig stærk, så da jeg hørte det, var jeg glad for min bagte torsk. Selv om lammeculotten var i en krydret sauce, var den alligevel ikke så stærk at den bedøvede alle smagsløgene - og dog: Fruen kunne i hvert fald ikke smage at der i tilbehøret var syltet selleri. Hun skyllede det hele ned med en kraftig primitivo, som dog viste sig at være noget sulfitholdig, hvilket ikke smages, men føles dagen efter.
Jeg valgte en osteanretning til dessert, og her må jeg sige, at den var noget beskeden i størrelse. To små ovale stykker mørkt ristet brød samt tre forskellige oste i sådan en ministørrelse, at jeg var glad for min briller. Desuden var to af ostene meget lig hinanden i smag, så den dessert kunne jeg godt have undværet. Fruen valgte en cappuccino, og den roste hun meget."
6,Dette er er super hyggelig restaurant med en fantastisk stemning og sjæl. Vi fik en super dejlig frokost. Betjeningen og personalet var helt fantastik. Kan varmt anbefales :)
7,"Denne restaurant indeholder begrebet af >hygge<. Det var en cozy stemning med dæmpet belysning, og selvom vi der i fuld dagslys, kom stearinlysene til sin ret. Maden var sammensat af interessante ingredienser, som klædte hinanden. Betjeningen, som forgik på engelsk, var god, venlig og smilende."
8,"En god restaurant i indre by, hvor der ellers er mange turistfælder. Fin service og rimelig hurtig servering."
9,"Fra først skridt man træder ind i restaurant Tight mærker man en dejlig atmosfære. Atmosfæren forplanter sig også til maden, jeg fik en meget lækker 3 retters menu, soya marineret laks, lammeculotte og æble-brombær crumble til dessert. De retter blev efterfulgt af et glas vin som var anbefalet ud fra hver ret på menukortet (genialt). Dejlig aften med søde og smilende tjener, et besøg kan varmt anbefales."
