,name,location,bubble,dollars,rating,country,tourism
29,"First time in Copenhagen from Scotland  .. so .. very nice to find a restaurant serving my favourite dishes of mussles to start followed by steak !... in reality Mussles very small but good enough, steak pretty good too and a nice bottle of wine....More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
37,"Really nothing bad to say about this place.

Best burger I've ever had. Dessert was at the same level. The service was attentive, warm and caring. 

They even provided an awesome glutenfri alternative to the burger for my girlfriend.

For the price, this place is...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
54,"Very cozy and excellent food, served with kindness and a big smile. We got the quiet place in the corner at the entrance enjoying the street view","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
58,"Let me open this by saying that my previous visits to Tight have been really, really good. Great ribs, lamb, pork roast.  During my most recent visit, we’d struck up a conversation with the guy at the next table who waxed poetic about their burger....More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
71,"Had a 3 courses dinner in this restaurant and I really appreciated the quality, service and price.
Ps: the Hamburger is great!","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
72,"Long time no see. Used to be a quice OK place. Especially the Burger was a signature dish.
This experience was a big disappointment. Very average food, not specially good quality. Could be any junk place nearly.
Disappointing.","Aarhus, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
75,"Excellent main courses with the great deserts. Best crème brûlée I have ever eaten.

Staff are always friendly, competent, and knowledgeable.

Looking forward to my next visit.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
78,"Very Nice food, I had lobster soup and fresh fish and really delicious chece cake. The others had shellfish risotto 👍😁😁😁😁","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
110,"Firstly we waited 23 minutes to order with the waiter (sorry for the minutes but at the point I was only looking a the clock), then we waited 17 minutes more for our glass of wine. After 1hour and 45 minutes, we had only had...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30, Denmark,Local
111,"Great place! Love the atmosphere, been a fixed menu each time due to new years but menu was perfect.","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
115,"Searching the streets for a nice lunch, I stumbled upon this restaurant. I was welcomed by a friendly waiter who offered me a table by the window. A very obliging waitress then took my order. She was friendly and up for conversation, which I really...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
116,Have been here a couple of times and would recommend. The restaurant has a nice laid-back atmosphere but with attentive and high standard of service. The food is also very good (would recommend the mac and cheese spring roll starter). It was all very fresh...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
118,"A comfortable and rustic environment combines with great food and friendly service. We enjoyed our visit to the restaurant, and would recommend it to others. We had the burgers and the 3-dish lunch menu (shrimp, fois gras and marinated beef options) and the tastes were...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
122,"Friday 13.7.18 we went to restaurant Tight in Copenhagen - highly recommendable and we will definitely come back. Very tasty food, nice portions, very friendly staff, especially the girl from Ireland.","Kongens Lyngby, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
127,"Everything was great at this unique and cosy restaurant; the food was excellent and the atmosphere relaxed and very friendly. I have been there with friends and with family, both times we had a great evening!!!","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
130,We were there for our team building dinner. We ordered 3 corse menu. All in all a very good dinning experience. I like the desert very much.,"Middelfart, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
146,"Tight serves with a doubt the best burger in town - it may be squared, but it is amazing. Also, their surf and turf and the Canadian treat for desert work wonders. Taking price into account I can only rate ""value"" at ""amazing"". 

The atmosphere...More","Valby, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
168,"on a Wednesday totally packed 3 hours for three courses that kills even the best food experience. 

All in all an ok experience food wise, they have many alternative dishes you won’t find everywhere , got a discount for the slow service.","Maeloev, Denmark","<span class=""ui_bubble_rating bubble_40""></span>",,40, Denmark,Local
176,Went to this place on Sunday night and the first thing is the warmness and the welcoming environment that you can feel  it’s just no less then a home and then the food they were just mind blowing and tasty !! It’s just worth a...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
182,"Excellent service and great food. Very smiley staff and a lot of attention. The menu was super interesting only problem was that it was hard to choose between all the great courses;-) I'll definitely come back very soon! 
Next time will I also try the...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_50""></span>",,50, Denmark,Local
