,name,location,bubble,dollars,rating,country,tourism
0,"The restaurant is cozy, the staffs are friendly, and the most important thing is, the food is amazing! I feel hungry once I recall the memory spending there.",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
1,"Ate here last night with a group of friends.  Service was good, as was the food.  Had the smoked salmon starter and roasted veal.  Food tasted excellent.  Prices were a bit high but overall worth the visit.  I would eat here again.","Waukesha, Wisconsin","<span class=""ui_bubble_rating bubble_40""></span>",,40, Wisconsin,Tourist
2,"Awesome!! Delicious food, nice staff.  We had white wine.  Good deals for Copenhagen. Cute, comfy and relax place.  We hope to come back.","Hong Kong, China","<span class=""ui_bubble_rating bubble_50""></span>",,50, China,Tourist
3,We wanted a nice dinner. We  could place our orders fairly fast  but had to wait a long time for our food especially between starter and main dish. We skipped dessert due the slow serving of food.,"Sollentuna, Sweden","<span class=""ui_bubble_rating bubble_20""></span>",,20, Sweden,Tourist
4,Restuarant Tight is located off the main shopping area in Copenhagen. We were given an option of upstairs seating which was comfortale. The food is very good and the service is EXCELLENT. We had the recommended dishes that others have raved about. I had the...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40, United Kingdom,Tourist
5,"We concluded our trip to Denmark by stumbling on this gem. Our dinner was amazing, the vibe is great. Love it!",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
6,"Visited on a Sunday night
We booked a table but we probably didn't need to
We were seated in the upstairs section of the restaurant
Our waiter, Tom, was excellent. Very attentive and friendly, yet remained professional throughout.
We ordered fish croquettes followed by Veal...More","Newquay, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
7,"Based on reviews of this establishment, my husband and I decided to try them for dinner on our last night in Copenhagen. We were not disappointed. He had the lobster bisque and was pleased with the amount of lobster in it and the creaminess. We...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
8,"Had a late lunch at Tight, ordering off the lunchtime small plate menu.  We sampled a selection of six different items, and each was superbly presented and genuinely delicious.  Service was top notch.  All around excellent meal.",Texas,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Texas,Tourist
9,"A great dinner with most gracious staff for our group of 11 American travelers. We had a great table upstairs and an eclectic mix of local favorites, the fish and mussels, as well as surprisingly good ribs. Being from Colorado, this was not going to...More","Aurora, Colorado","<span class=""ui_bubble_rating bubble_50""></span>",,50, Colorado,Tourist
10,"My husband and I ate here for our last dinner in Copenhagen. The ambiance is lovely, very Scandinavian with lots of wood. The dishes also reflect the Nordic aesthetic. The food had lots of flavor and the portions allow for sharing. 
We had bbq pasture...More","San Francisco, California","<span class=""ui_bubble_rating bubble_50""></span>",,50, California,Tourist
11,"We sat upstairs and had a really delightful lunch. Noteworthy, our server was personable, welcoming and engaging - the best by far during our last two weeks here.  Kudos and thanks.  We shared three small dishes to start and both had the lobster soup as...More","New York City, New York","<span class=""ui_bubble_rating bubble_50""></span>",,50, New York,Tourist
12,"This restaurant was recommended by a friend and it was really a great idea. Located at a small street in the city center. Charming decoration with many candles as usual in Denmark, good atmosphere. The food surprised us: mussels with an amazing wine sauce and...More","Madrid, Spain","<span class=""ui_bubble_rating bubble_50""></span>",,50, Spain,Tourist
13,"Nice place for dinner just off the shopping street. Seating on multiple levels, busy but not noisy. We both had the veal loin which was excellent with nicely cooked vegetables.
Service was friendly and efficient. A previous review mentioned a charge for water, not so....More","Chicago, Illinois","<span class=""ui_bubble_rating bubble_40""></span>",,40, Illinois,Tourist
14,"Small dishes Tapas style was served. All three - beef carpaccio, shellfish croutons and marinated raw salmon was great, plus the lobster soup was really good. We also tried the Tight's ice cream dessert, good texture, great taste.
The only downside was the price, a...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
15,"Our table was on the second floor—good for people watching on the street. The service was friendly and efficient. There were gluten free options and the selection was good. They even had a really good gluten free beer. We both chose the ribs, which were...More","Princeton, New Jersey","<span class=""ui_bubble_rating bubble_50""></span>",,50, New Jersey,Tourist
16,"Used TA to find a restaurant and settled on Tight.
So glad we did the restaurant itself is great- a lovely setting with a really nice ambiance.
The food is superb and the Steak was without a doubt the best Steak I’ve had for a...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
17,We enjoyed our meal at Tight.  I had booked a table in advance and we had a nice one on the second floor.  I made the reservation as they had good vegetarian options and we all enjoyed our meal.,Seattle,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Seattle,Tourist
18,"Lovely restuarant. We were greeted promptly, and shown to our table at the top of the stairs, menus and drinks offered straight away. Our server was polite and friendly. We ordered a bottle of the Pinot Noir - unfortunately there were two available bottles of...More",Cheshire,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Cheshire,Tourist
19,A very welcoming host that made our visit perfect. The food was very good and presented in the most appealing way. I truly recommend the 3-dish combo. By far the best experience in our Copenhagen visit. Will come back.,"Stockholm, Sweden","<span class=""ui_bubble_rating bubble_50""></span>",,50, Sweden,Tourist
20,"Husband and I just had dinner here. I had the bbq ribs, which were excellent & I have had ribs in “all the best places” He had something called “wheat Toto” hard to describe but had shrimp, mushrooms, mussels in a creamy sauce. Also yummy!...More",Maui,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Maui,Tourist
21,"This is very centrally located. We tried their special lunch offer for 3 small servings plus the bbq ribs sandwich with potatoes. The food was great, service ok, prices in line. Reading material at the throne.","Bucharest, Romania","<span class=""ui_bubble_rating bubble_50""></span>",,50, Romania,Tourist
22,"Found this restaurant after a tip from a local barman, wow, the food was amazing and the staff were friendly and helpful. My waitress Sandra was brilliant, nothing was too much trouble even though she was really busy, she even made me feel like I...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
23,"Had a very good meal here.
When we booked we requested a quiet table and the staff went out of their way when we arrived to offer us a choice of tables to satisfy this request.
We had the Barley shellfish risotto and the baked...More","Surrey, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40, United Kingdom,Tourist
24,Restaurant Tight is an inviting multi-level restaurant. We were seated on the rail on the upstairs level with a nice view over the street. Our server was very friendly and took great care of us. Somehow our appetizer oder got missed so we went straight...More,"New York City, New York","<span class=""ui_bubble_rating bubble_50""></span>",,50, New York,Tourist
25,"Came to Tight based on reviews here and Rick Steves recommendation.  The meal was excellent, particularly the Shellfish Wheatotto. The barley instead of risotto was outstanding, giving the dish a different, but delicious, touch. We also enjoyed the Lobster Soup with the coconut flavouring, the...More",Toronto,"<span class=""ui_bubble_rating bubble_50""></span>",,50,Toronto,Tourist
26,"A very cozy and nice restaurant with two floors in the middle of the city.
Had the lobster soup, the carpaccio and the Angus... Tasted amazing!

Highly recommended.","Stromstad, Sweden","<span class=""ui_bubble_rating bubble_40""></span>",,40, Sweden,Tourist
27,"Don’t miss this restaurant during your Copenhagen visit. It’s surprisingly bigger than it appears from the street, is casual and comfortable. From the mussels and beef carpaccio to the baked cod and barbecue ribs, every dish was delicious and perfectly prepared! The staff friendly and...More","Chattanooga, Tennessee","<span class=""ui_bubble_rating bubble_50""></span>",,50, Tennessee,Tourist
28,"I am currently writing this as I am finishing my meal here. Came for a burger, to my delight, EVERYTHING was made gluten free for me (non-gluten free burger in the back).
Exceptional service. We were walk ins and were seated promptly.
It was a...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
30,We used the what’s nearby feature on the app and picked Tight due to its good reviews. We stopped for lunch and each ordered the three small plates deal. It was probably our best meal in Copenhagen. All the dishes were traditional Danish and were...More,"Calgary, Canada","<span class=""ui_bubble_rating bubble_50""></span>",,50, Canada,Tourist
31,What a surprised find of this gem! Food and service are great. We did not make a reservation but was lucky to secure a table for a family of six. Casual setting and Cosy atmosphere really make you feel very welcome. Highly recommended if you...More,,"<span class=""ui_bubble_rating bubble_40""></span>",,40,,Tourist
32,Really enjoyed a recent meal with colleagues recently at Tight. I had the beef carpaccio to start and the burger as my main; both were very good.  The burger was quite substantial and wonderfully dressed with a delicious seasoned foccacia bun.  Colleagues tried out the...More,"Madison, Wisconsin","<span class=""ui_bubble_rating bubble_40""></span>",,40, Wisconsin,Tourist
33,"I was trying to find a spot in the area with a significant amount of five-star reviews (there are a lot of places around where the consensus seems to be ""meh""). This one stood out so I chose it despite the fact the prices were...More","Tel-Aviv, Israel","<span class=""ui_bubble_rating bubble_50""></span>",,50, Israel,Tourist
34,"Family of 6 for a 21st birthday. We enjoyed the cocktails, wine and food. The atmosphere in the restaurant is great. It felt Danish to us as non-Danes.  Appeared to be mostly locals eating there.","Toronto, Canada","<span class=""ui_bubble_rating bubble_50""></span>",,50, Canada,Tourist
35,Place is located in the heart of Copenhagen and I would defintely recommend. Staff is super nice and atmsophere is very chill and laid back. Food is delicious!! I had the Mussels and they were super good.,"Woodside, New York","<span class=""ui_bubble_rating bubble_40""></span>",,40, New York,Tourist
36,"This place has it all, great food, fab wine, not bad prices and a wonderful atmosphere. However when I visited with my boyfriend there seemed to be a serious lack of staff. The staff who were working were running around trying to keep all of...More","Watford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40, United Kingdom,Tourist
38,We were so impressed with Tight! The food was delicious and the service impeccable! I had the Angus steak and my partner had the cod.  The presentation of the dishes was beautiful.  Great wine list. Desserts were impressive too. I appreciated the relaxing atmosphere of...More,"Plantation, Florida","<span class=""ui_bubble_rating bubble_50""></span>",,50, Florida,Tourist
39,"We came here for dinner - it was our favorite meal in Copenhagen. It’s a short walk from Nyhavn near the center of the city. We ordered the ribs, cod, and mussels appetizer. All the food was delicious! The staff was very nice too.","New York City, New York","<span class=""ui_bubble_rating bubble_50""></span>",,50, New York,Tourist
40,"Very good food (both meat and fish), pleasant stuff and atmosphere. Highly recommended, one of the best places we have visited near the center.",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
41,"Not sure what the “food Mecca myth” review is all about.  The burger was great and very filling, the wine and beer good, the service excellent and the atmosphere friendly.  Denmark in general, and Copenhagen in particular, is expensive and prices here were what you...More","Sheffield, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50, United Kingdom,Tourist
42,"$120 for two mediocre main dishes, two soups, and a tiny serving of fried have-no-idea-what.  A small dish of ice cream.  No alcohol.  One of the entres and the soup tasted the same. This whole idea of Copenhagen as a food mecca is a myth.","New York City, New York","<span class=""ui_bubble_rating bubble_30""></span>",,30, New York,Tourist
43,I visited Tight two nights ago and I highly recommend it! The food was incredibly delicious and the service was impeccable! A perfect place to eat in Copenhagen!!,,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
44,"The cocktail menu did not disappoint!  
Food and service were also impeccable!  The cod was a favourite among our group!","Hamilton, Canada","<span class=""ui_bubble_rating bubble_50""></span>",,50, Canada,Tourist
45,"The service here is awesome. Our food was amazing. My husband and I each had a cocktail, and they did not disappoint. I would absolutely recommend this place!","Richmond, Virginia","<span class=""ui_bubble_rating bubble_50""></span>",,50, Virginia,Tourist
46,"My partner and I visited on Saturday night for my birthday, having only booked the day before. The restaurant had a great atmosphere, the food was amazing and the service was perfect. Couldn't recommend this place enough.",,"<span class=""ui_bubble_rating bubble_50""></span>",,50,,Tourist
