id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;scraping restaurants;requests;1566989470.282763;-1.796600103378296;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or0-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-Mother-Copenhagen_Zealand.html;1292710;200;True;
1;scraping restaurants;requests;1566989473.593475;-1.4169409275054932;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or10-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or10-Mother-Copenhagen_Zealand.html;1297220;200;True;
2;scraping restaurants;requests;1566989476.5194461;-1.3896219730377197;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or20-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or20-Mother-Copenhagen_Zealand.html;1295141;200;True;
3;scraping restaurants;requests;1566989479.417124;-1.6014621257781982;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or30-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or30-Mother-Copenhagen_Zealand.html;1294007;200;True;
4;scraping restaurants;requests;1566989482.526952;-1.398277997970581;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or40-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or40-Mother-Copenhagen_Zealand.html;1295250;200;True;
5;scraping restaurants;requests;1566989485.4372349;-1.4178650379180908;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or50-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or50-Mother-Copenhagen_Zealand.html;1292359;200;True;
6;scraping restaurants;requests;1566989488.361367;-1.4602320194244385;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or60-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or60-Mother-Copenhagen_Zealand.html;1292764;200;True;
7;scraping restaurants;requests;1566989491.3303092;-1.3794538974761963;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or70-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or70-Mother-Copenhagen_Zealand.html;1291871;200;True;
8;scraping restaurants;requests;1566989494.2218728;-1.4677979946136475;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or80-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or80-Mother-Copenhagen_Zealand.html;1296664;200;True;
9;scraping restaurants;requests;1566989497.204371;-1.549811840057373;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or90-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or90-Mother-Copenhagen_Zealand.html;1294260;200;True;
