,name,location,bubble,dollars,rating
0,"Waiting is never good when you are in the line, though you would appreciate the made to order no rush service.
Pizza crust was what made it for us.  It was good regardless of the toppings.",Florida,"<span class=""ui_bubble_rating bubble_40""></span>",,40
1,"Went here late on a Sunday when everywhere else seemed closed - only had takeaway but the staff were very friendly, the service was quick and the pizzas tasted fantastic.  Everything made from scratch and with really tasty fresh ingredients.  Would happily go back!","Devizes, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,We were in town on vacation and staying about 5 blocks away. We had gone to another restaurant in the meat packing district the night before and saw how popular mother was so we went back! We had the fried cod appetizer and two pizzas....More,"Richmond, Virginia","<span class=""ui_bubble_rating bubble_40""></span>",,40
3,"Pizza was good, but service was not very nice and the wait... god ! you cant run a restaurant kitchen with just one oven ?!","Paris, France","<span class=""ui_bubble_rating bubble_30""></span>",,30
4,"It was super busy the night we rocked up - anopera event was on and everywhere was packed. The waiter kindly installed us in the bar, and then came to get us when a table was ready. He was polite and friendly throughout and even...More","Coventry, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"Pizza was delish, in a laid-back atmosphere with good food and friendly staff. We tried two types of pizza and the grown-ups also enjoyed our cocktails (aperol spritz). We arrived early for dinner (before 5pm, as the kids were exhausted), but there was a queue...More","Washington DC, District of Columbia","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,This is listed by many articles as the best pizza in Copenhagen which seems to be a ibt of an exaggeration. It is good but nothing special. We were there on a Saturday evening and had a table outside. The tables outside are extremely small...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"I’ve had a reservation at 20:30, which I reckon is a busy time for the restaurant, because the food, the drinks and overall the service was extremely slow. 
The antipasti and the pizza were good quality and tasty, but the atmosphere was destroyed by the...More",,"<span class=""ui_bubble_rating bubble_30""></span>",,30
8,"“THIS is MY RESTAURANT and I will run it HOW I WANT”

That’s what the owner screamed at us when we meekly suggested that we had waited 1+ hour for a pizza.  Disgusting customer service.

Refused to apologise or indeed accept anything was wrong with...More",,"<span class=""ui_bubble_rating bubble_10""></span>",,10
9,"Dined at Mother's twice... Margharita pizza the first night and pizza with smoked salmon second night.  Traditional was the best.  Loved the pizza, the people watching including the chefs and servers, met interesting people also enjoying good pizza,,","Minneapolis, Minnesota","<span class=""ui_bubble_rating bubble_40""></span>",,40
0,"Arrived and waited at bar for table. Pizza was among the best we've had. Quirky location and seating style as the tables spill out onto the street - small groups may have to share tables with others. Friendly and fast service, would definitely recommend -...More","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
1,Went here one evening for drinks and a meal it was recommended by one of the waiters in our hotel we sat outside it was a very nice evening we waited for some service and waited asked three different waiters could we have a drink...More,cork,"<span class=""ui_bubble_rating bubble_40""></span>",,40
2,"I have been to this restaurant two years ago and had the best experience...so when I brought my friend...I thought it would be the same. Turns out they have new owners and you can so tell with the experience we had. 

I had two waiters...More",,"<span class=""ui_bubble_rating bubble_10""></span>",,10
3,We had a Saturday brunch and it was just great. All the different kinds of dishes were available. Tasty food and friendly customer service!,,"<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"Insolent waiters who seem to think customers should be grateful for the privilege of waiting a really, really long time to eat mediocre, stone-cold pizza.",,"<span class=""ui_bubble_rating bubble_20""></span>",,20
5,"Our hotel was near the Kodbyen neighborhood of Copenhagen- the meatpacking district that has been converted into restaurant row with a selection of cuisines to suite many tastes. We had previously eaten at Warpigs, and returned to this area during our last night in Denmark...More",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
6,"From our hotel near the train station this is an easy walk.  However, between the train station and this restaurant you pass an area of open drug and alcohol abuse. There was a big police presence while we were there, so it was tolerable.  Then...More",,"<span class=""ui_bubble_rating bubble_50""></span>",,50
7,"Had a great time eating pizza and drinking beer. We got a table but the table wasnt suitable for wheelchairs, but the pizza and service wad top.",,"<span class=""ui_bubble_rating bubble_40""></span>",,40
8,"We visited the restaurant in the middle of June 2019 for brunch. The table was reserved beforehand. The brunch, including the pizzas, was very good, and the orchestra played outside (continuing inside when the thunderstorm started). The atmosphere was lovely. The only minus was when...More","Helsinki, Finland","<span class=""ui_bubble_rating bubble_40""></span>",,40
9,We got I think the rudeness waiter.. answering in a really bad way and making us feeling uncomfortable. The pizza was regular.. the mozzarella was a real Italian mozzarella or a cheap cheese? And at the end they get even upset because we were leaving...More,"Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_10""></span>",,10
0,This was a great little find in the Meat packing district. Great indoor and outdoor place. The pizza was fresh and I also recommend the meat and cheese board.,"San Antonio, Texas","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"This place looks like a place you want to go to...long line suggesting it must be good, wood fired pizzas, and indoor and outdoor seating. But, beware! We waited a bit for a table which we did willingly since we hopped into line behind several...More","Atlanta, Georgia","<span class=""ui_bubble_rating bubble_10""></span>",,10
2,"Over in the Meat packing area we discovered this restaurant. Very fresh ingredients served with a smile, really great pizzas. We even met the boss who wanted to chat about the business with us!","Godalming, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
3,"Lovely pizza, v tasty and just perfect. Attentive Service was good considering how busy it was (Sat night peak time). Good value as well, and very local to our hotel(!) what’s not to like! Would really recommend but patience is needed as it is really...More","Newbury, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
4,"We went on a Friday evening and the place was packed. So we had to wait for an hour to get our pizza, which was OK because everyone in the open kitchen was working hard. I can't complain with the service like I read in...More","Bruhl, Germany","<span class=""ui_bubble_rating bubble_30""></span>",,30
5,"We had a table for 4 on a busy sunny Sunday night and enjoyed great food and really good service. Seems to be very popular with Copenhagen locals, tasty food, nice beers and buzzing atmosphere.","Stafford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
6,we ordweed 3 pizzas at 19.00 got our order at 20.20 waited more than an hour. Really bad service. Every time we asked they sad 10 min more,,"<span class=""ui_bubble_rating bubble_10""></span>",,10
7,"We waited 100 mins and the waitress did not apologize. And when the pizza finally came,one of our pizzas were cold , and again no apology. And when we finally left , the waitress did not apologize or give us a discount. Worst staff i...More",,"<span class=""ui_bubble_rating bubble_10""></span>",,10
8,"This is a great place for pizza. I went on my first night in Copenhagen and I loved the pizza. If you’re not a big eater, I’d recommend one to share. 

If you’re planning on going, I’d avoid peak times, it took over an hour...More","Manchester, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
9,We arrived in Copenhagen after 9 pm on a Tuesday and we were worried about finding somewhere to eat. Our hotel suggested a stroll to the meatpacking district. We walked by Mother and they were still serving at close to 10 pm so we sat...More,"Bordeaux, France","<span class=""ui_bubble_rating bubble_40""></span>",,40
0,"During my meal last night, I saw the manager/owner speaking aggressively with a waiter including physically grabbing his wrists and shoulder. The staff member was clearly intimidated, backing away during the conversation. I raised this with the manager before we left – she made no...More",,"<span class=""ui_bubble_rating bubble_10""></span>",,10
1,"Perhaps our party of 9 were unlucky this sunny May day, but the pizzas disappointed everyone greatly. They were without a lot of taste when we finally got them after asking several times.
The service from the staff was unprofessional but friendly, except from the...More","Copenhagen, Denmark","<span class=""ui_bubble_rating bubble_20""></span>",,20
2,"Went to Sunday brunch, had salad, pie and pizza. Everything was really good and the venue is very hip and cool. It was just extremely hot inside, sun was in our faces and maybe they don’t have AC.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
