,name,location
0,"Ate here last night with a group of friends.  Service was good, as was the food.  Had the smoked salmon starter and roasted veal.  Food tasted excellent.  Prices were a bit high but overall worth the visit.  I would eat here again.","Waukesha, Wisconsin"
1,"Awesome!! Delicious food, nice staff.  We had white wine.  Good deals for Copenhagen. Cute, comfy and relax place.  We hope to come back.","Hong Kong, China"
2,We wanted a nice dinner. We  could place our orders fairly fast  but had to wait a long time for our food especially between starter and main dish. We skipped dessert due the slow serving of food.,"Sollentuna, Sweden"
3,Restuarant Tight is located off the main shopping area in Copenhagen. We were given an option of upstairs seating which was comfortale. The food is very good and the service is EXCELLENT. We had the recommended dishes that others have raved about. I had the...More,"London, United Kingdom"
4,"We concluded our trip to Denmark by stumbling on this gem. Our dinner was amazing, the vibe is great. Love it!",
5,"Visited on a Sunday night
We booked a table but we probably didn't need to
We were seated in the upstairs section of the restaurant
Our waiter, Tom, was excellent. Very attentive and friendly, yet remained professional throughout.
We ordered fish croquettes followed by Veal...More","Newquay, United Kingdom"
6,"Based on reviews of this establishment, my husband and I decided to try them for dinner on our last night in Copenhagen. We were not disappointed. He had the lobster bisque and was pleased with the amount of lobster in it and the creaminess. We...More",
7,"Had a late lunch at Tight, ordering off the lunchtime small plate menu.  We sampled a selection of six different items, and each was superbly presented and genuinely delicious.  Service was top notch.  All around excellent meal.",Texas
8,"A great dinner with most gracious staff for our group of 11 American travelers. We had a great table upstairs and an eclectic mix of local favorites, the fish and mussels, as well as surprisingly good ribs. Being from Colorado, this was not going to...More","Aurora, Colorado"
9,"My husband and I ate here for our last dinner in Copenhagen. The ambiance is lovely, very Scandinavian with lots of wood. The dishes also reflect the Nordic aesthetic. The food had lots of flavor and the portions allow for sharing. 
We had bbq pasture...More","San Francisco, California"
0,"We sat upstairs and had a really delightful lunch. Noteworthy, our server was personable, welcoming and engaging - the best by far during our last two weeks here.  Kudos and thanks.  We shared three small dishes to start and both had the lobster soup as...More","New York City, New York"
1,"This restaurant was recommended by a friend and it was really a great idea. Located at a small street in the city center. Charming decoration with many candles as usual in Denmark, good atmosphere. The food surprised us: mussels with an amazing wine sauce and...More","Madrid, Spain"
2,"Nice place for dinner just off the shopping street. Seating on multiple levels, busy but not noisy. We both had the veal loin which was excellent with nicely cooked vegetables.
Service was friendly and efficient. A previous review mentioned a charge for water, not so....More","Chicago, Illinois"
3,"Small dishes Tapas style was served. All three - beef carpaccio, shellfish croutons and marinated raw salmon was great, plus the lobster soup was really good. We also tried the Tight's ice cream dessert, good texture, great taste.
The only downside was the price, a...More",
4,"Our table was on the second floor—good for people watching on the street. The service was friendly and efficient. There were gluten free options and the selection was good. They even had a really good gluten free beer. We both chose the ribs, which were...More","Princeton, New Jersey"
5,"Used TA to find a restaurant and settled on Tight.
So glad we did the restaurant itself is great- a lovely setting with a really nice ambiance.
The food is superb and the Steak was without a doubt the best Steak I’ve had for a...More",
6,We enjoyed our meal at Tight.  I had booked a table in advance and we had a nice one on the second floor.  I made the reservation as they had good vegetarian options and we all enjoyed our meal.,Seattle
7,"Lovely restuarant. We were greeted promptly, and shown to our table at the top of the stairs, menus and drinks offered straight away. Our server was polite and friendly. We ordered a bottle of the Pinot Noir - unfortunately there were two available bottles of...More",Cheshire
8,A very welcoming host that made our visit perfect. The food was very good and presented in the most appealing way. I truly recommend the 3-dish combo. By far the best experience in our Copenhagen visit. Will come back.,"Stockholm, Sweden"
